Matriz con valores de las aristas del Grafo: 

   A B C D E F G H I J K L M N O
 A 0 9 9 0 2 8 8 4 0 6 4 2 2 2 0
 B 9 0 0 8 3 5 9 3 9 0 8 5 4 7 0
 C 9 0 0 8 0 4 2 9 9 2 8 6 5 2 2
 D 0 8 8 0 5 6 0 0 2 8 6 4 0 8 7
 E 2 3 0 5 0 1 5 1 9 2 1 5 0 1 2
 F 8 5 4 6 1 0 1 2 6 3 9 8 8 8 2
 G 8 9 2 0 5 1 0 0 3 0 2 7 1 8 7
 H 4 3 9 0 1 2 0 0 7 2 6 8 3 0 3
 I 0 9 9 2 9 6 3 7 0 5 8 3 7 6 7
 J 6 0 2 8 2 3 0 2 5 0 4 3 9 3 4
 K 4 8 8 6 1 9 2 6 8 4 0 1 7 5 5
 L 2 5 6 4 5 8 7 8 3 3 1 0 6 9 7
 M 2 4 5 0 0 8 1 3 7 9 7 6 0 2 0
 N 2 7 2 8 1 8 8 0 6 3 5 9 2 0 3
 O 0 0 2 7 2 2 7 3 7 4 5 7 0 3 0
