Matriz con valores de las aristas del Grafo: 

   A B C D E F G H I J K L M N O P Q R S T U V W X Y Z
 A 0 9 4 8 4 6 8 6 7 3 2 0 0 7 4 1 7 2 7 9 7 5 7 4 0 0
 B 9 0 2 8 6 1 2 0 5 1 9 0 5 4 9 5 9 7 2 6 5 9 2 0 2 9
 C 4 2 0 9 8 9 9 2 9 2 5 4 0 0 9 2 0 6 3 0 9 9 1 8 1 0
 D 8 8 9 0 8 8 8 9 4 6 2 9 5 4 9 2 4 7 3 5 3 6 5 9 2 5
 E 4 6 8 8 0 4 0 9 0 4 3 9 1 3 6 6 4 0 4 8 7 8 7 7 2 2
 F 6 1 9 8 4 0 5 2 5 0 1 9 2 0 8 9 2 5 5 9 0 7 6 5 5 2
 G 8 2 9 8 0 5 0 1 4 3 6 0 7 9 3 3 1 6 2 9 1 1 4 1 2 7
 H 6 0 2 9 9 2 1 0 4 6 7 4 8 5 6 5 6 1 0 1 9 9 9 8 2 6
 I 7 5 9 4 0 5 4 4 0 4 7 3 4 7 3 8 4 9 2 2 7 2 2 2 6 5
 J 3 1 2 6 4 0 3 6 4 0 0 3 8 3 9 1 7 0 2 4 1 1 4 0 9 1
 K 2 9 5 2 3 1 6 7 7 0 0 7 9 0 8 5 7 5 5 9 8 9 6 4 7 3
 L 0 0 4 9 9 9 0 4 3 3 7 0 4 4 4 3 9 1 8 6 6 5 6 8 7 9
 M 0 5 0 5 1 2 7 8 4 8 9 4 0 3 4 9 4 6 5 6 3 0 5 9 9 6
 N 7 4 0 4 3 0 9 5 7 3 0 4 3 0 6 0 7 1 7 3 2 8 8 8 1 0
 O 4 9 9 9 6 8 3 6 3 9 8 4 4 6 0 2 0 0 8 0 2 7 9 3 0 1
 P 1 5 2 2 6 9 3 5 8 1 5 3 9 0 2 0 0 6 0 2 4 1 4 7 3 3
 Q 7 9 0 4 4 2 1 6 4 7 7 9 4 7 0 0 0 0 8 4 8 6 5 6 0 9
 R 2 7 6 7 0 5 6 1 9 0 5 1 6 1 0 6 0 0 7 6 9 2 1 8 9 0
 S 7 2 3 3 4 5 2 0 2 2 5 8 5 7 8 0 8 7 0 1 7 3 4 7 4 7
 T 9 6 0 5 8 9 9 1 2 4 9 6 6 3 0 2 4 6 1 0 9 9 2 7 3 9
 U 7 5 9 3 7 0 1 9 7 1 8 6 3 2 2 4 8 9 7 9 0 6 2 5 7 6
 V 5 9 9 6 8 7 1 9 2 1 9 5 0 8 7 1 6 2 3 9 6 0 1 3 2 7
 W 7 2 1 5 7 6 4 9 2 4 6 6 5 8 9 4 5 1 4 2 2 1 0 9 3 1
 X 4 0 8 9 7 5 1 8 2 0 4 8 9 8 3 7 6 8 7 7 5 3 9 0 6 0
 Y 0 2 1 2 2 5 2 2 6 9 7 7 9 1 0 3 0 9 4 3 7 2 3 6 0 2
 Z 0 9 0 5 2 2 7 6 5 1 3 9 6 0 1 3 9 0 7 9 6 7 1 0 2 0
